scope,scope_kind,category_name,element_id,element_type,element_name,satisfaction,is_measured_seed
release_d,category,Release Pathway D,2,Goal,"Every patient with suspected sepsis is screened, treated within guideline windows, and reaches a documented disposition",0,False
release_d,category,Release Pathway D,3,Goal,Patient is registered and screened for sepsis,0,False
release_d,category,Release Pathway D,4,Goal,Sepsis workup and treatment are performed,0,False
release_d,category,Release Pathway D,5,Goal,Patient is admitted to an inpatient ward,0,False
release_d,category,Release Pathway D,6,Goal,Admitted case reaches a captured discharge,0,False
release_d,category,Release Pathway D,7,Task,ER Registration,0,False
release_d,category,Release Pathway D,8,Task,ER Triage,0,False
release_d,category,Release Pathway D,9,Task,ER Sepsis Triage,0,False
release_d,category,Release Pathway D,10,Task,Leucocytes,0,False
release_d,category,Release Pathway D,11,Task,CRP,0,False
release_d,category,Release Pathway D,12,Task,LacticAcid,0,False
release_d,category,Release Pathway D,13,Task,IV Liquid,0,False
release_d,category,Release Pathway D,14,Task,IV Antibiotics,0,False
release_d,category,Release Pathway D,15,Task,Admission NC,0,False
release_d,category,Release Pathway D,16,Task,Admission IC,0,False
release_d,category,Release Pathway D,17,Task,Release A,0,False
release_d,category,Release Pathway D,18,Task,Release B,0,False
release_d,category,Release Pathway D,19,Task,Release C,0,False
release_d,category,Release Pathway D,20,Task,Release D,0,False
release_d,category,Release Pathway D,21,Task,Release E,0,False
release_d,category,Release Pathway D,22,Softgoal,Minimize time-to-treatment,19,False
release_d,category,Release Pathway D,23,Softgoal,Avoid post-discharge deterioration,-20,False
release_d,category,Release Pathway D,24,Indicator,Time to antibiotics (hours),-62,True
release_d,category,Release Pathway D,25,Indicator,Time to lactate measurement (hours),100,True
release_d,category,Release Pathway D,26,Indicator,Post-discharge ER return (binary),-39,True
release_e,category,Release Pathway E,2,Goal,"Every patient with suspected sepsis is screened, treated within guideline windows, and reaches a documented disposition",0,False
release_e,category,Release Pathway E,3,Goal,Patient is registered and screened for sepsis,0,False
release_e,category,Release Pathway E,4,Goal,Sepsis workup and treatment are performed,0,False
release_e,category,Release Pathway E,5,Goal,Patient is admitted to an inpatient ward,0,False
release_e,category,Release Pathway E,6,Goal,Admitted case reaches a captured discharge,0,False
release_e,category,Release Pathway E,7,Task,ER Registration,0,False
release_e,category,Release Pathway E,8,Task,ER Triage,0,False
release_e,category,Release Pathway E,9,Task,ER Sepsis Triage,0,False
release_e,category,Release Pathway E,10,Task,Leucocytes,0,False
release_e,category,Release Pathway E,11,Task,CRP,0,False
release_e,category,Release Pathway E,12,Task,LacticAcid,0,False
release_e,category,Release Pathway E,13,Task,IV Liquid,0,False
release_e,category,Release Pathway E,14,Task,IV Antibiotics,0,False
release_e,category,Release Pathway E,15,Task,Admission NC,0,False
release_e,category,Release Pathway E,16,Task,Admission IC,0,False
release_e,category,Release Pathway E,17,Task,Release A,0,False
release_e,category,Release Pathway E,18,Task,Release B,0,False
release_e,category,Release Pathway E,19,Task,Release C,0,False
release_e,category,Release Pathway E,20,Task,Release D,0,False
release_e,category,Release Pathway E,21,Task,Release E,0,False
release_e,category,Release Pathway E,22,Softgoal,Minimize time-to-treatment,0,False
release_e,category,Release Pathway E,23,Softgoal,Avoid post-discharge deterioration,-8,False
release_e,category,Release Pathway E,24,Indicator,Time to antibiotics (hours),-100,True
release_e,category,Release Pathway E,25,Indicator,Time to lactate measurement (hours),100,True
release_e,category,Release Pathway E,26,Indicator,Post-discharge ER return (binary),-16,True
